,CDSCode,School,Zip,EILCode,Virtual,Latitude,Longitude,LastUpDate,Address,Zipcode
19,37679676109086,Boulder Oaks Elementary,91901-3134,ELEM,N,32.819163,-116.77617,2020-08-13,"2320 Tavern Road,Alpine,CA,91901",91901
20,37679676109953,Mountain View Learning Academy,91901-2615,ELEM,N,32.832208,-116.81507,2020-08-13,"8770 Harbison Canyon Road,Alpine,CA,91901",91901
21,37679676118723,Creekside Early Learning Center,91901-2616,ELEM,N,32.832208,-116.81507,2019-02-13,"8818 Harbison Canyon Road,Alpine,CA,91901",91901
22,37679830134890,San Diego Workforce Innovation High,91950-1967,HS,N,32.689527,-117.0851,2020-08-13,"2 Euclid Avenue Suite A,National City,CA,91950",91950
23,37679833730447,Borrego Springs High,92004-0235,HS,N,33.265514,-116.38373,2019-11-06,"2281 Diegueno Road,Borrego Springs,CA,92004",92004
24,37679836037550,Borrego Springs Elementary,92004-0235,ELEM,N,33.256865,-116.34685,2019-02-13,"1315 Palm Canyon Drive,Borrego Springs,CA,92004",92004
25,37679836115315,Borrego Springs Middle,92004,INTMIDJR,N,33.264682,-116.38367,2019-11-06,"2255 Diegueno Road,Borrego Springs,CA,92004",92004
26,37679910108563,EJE Elementary Academy Charter,92020-5811,ELEM,N,32.784935,-116.97083,2019-06-17,"851 South Johnson Avenue,El Cajon,CA,92020",92020
27,37679910111005,Los Coches Creek Middle,92021-2619,INTMIDJR,N,32.858622,-116.81938,2020-08-13,"9669 Dunbar Lane,El Cajon,CA,92021",92021
28,37679910119255,EJE Middle Academy,92020-5811,INTMIDJR,N,32.784935,-116.97083,2019-02-13,"851 South Johnson Avenue,El Cajon,CA,92020",92020
29,37679910136176,Empower,92020-4015,INTMIDJR,N,32.795836,-116.95489,2020-08-13,"165 Roanoke Road,El Cajon,CA,92020",92020
30,37679910139394,Kidinnu Academy,92021-5844,ELEM,N,32.809266,-116.93478,2020-08-13,"1025 North Second Street,El Cajon,CA,92021",92021
31,37679916037568,Anza Elementary,92020-8602,ELEM,N,32.786,-116.9478,2020-08-13,"1005 South Anza Street,El Cajon,CA,92020",92020
32,37679916037576,Bostonia Language Academy,92021-5812,ELEM,N,32.807818,-116.93171,2019-08-22,"1390 East Broadway,El Cajon,CA,92021",92021
33,37679916037584,Cajon Valley Middle,92020-3922,INTMIDJR,N,32.798383,-116.95555,2020-08-13,"550 Park Avenue,El Cajon,CA,92020",92020
34,37679916037592,Chase Avenue Elementary,92020-6201,ELEM,N,32.780336,-116.96003,2020-08-13,"195 East Chase Avenue,El Cajon,CA,92020",92020
35,37679916037600,Crest Elementary,92021-4249,ELEM,N,32.805538,-116.86647,2020-08-14,"2000 Suncrest Boulevard,El Cajon,CA,92021",92021
36,37679916037626,Emerald Middle,92020-7315,INTMIDJR,N,32.778996,-116.96869,2020-08-14,"1221 South Emerald Avenue,El Cajon,CA,92020",92020
37,37679916037634,Flying Hills School of Arts,92020-1433,ELEM,N,32.811827,-116.9824,2020-08-13,"1251 Finch Street,El Cajon,CA,92020",92020
38,37679916037642,Fuerte Elementary,92020-8309,ELEM,N,32.762217,-116.94678,2020-08-13,"11625 Fuerte Drive,El Cajon,CA,92020",92020
39,37679916037659,Greenfield Middle,92021-3414,INTMIDJR,N,32.811048,-116.92834,2020-08-14,"1495 Greenfield Drive,El Cajon,CA,92021",92021
40,37679916037675,Johnson Elementary,92020-3211,ELEM,N,32.8008,-116.9562,2019-02-13,"500 West Madison,El Cajon,CA,92020",92020
41,37679916037683,Lexington Elementary,92019-4739,ELEM,N,32.791145,-116.94234,2020-08-14,"1145 Redwood Avenue,El Cajon,CA,92019",92019
42,37679916037691,Madison Avenue Elementary,92019-1046,ELEM,N,32.800143,-116.922,2020-08-13,"1615 East Madison Avenue,El Cajon,CA,92019",92019
43,37679916037709,Magnolia Elementary,92021-2957,ELEM,N,32.813388,-116.95404,2020-08-13,"650 Greenfield Drive,El Cajon,CA,92021",92021
44,37679916037717,Meridian Elementary,92019-2517,ELEM,N,32.788386,-116.92685,2020-08-13,"651 South Third Street,El Cajon,CA,92019",92019
45,37679916037725,Naranca Elementary,92021-5615,ELEM,N,32.803995,-116.94638,2020-08-13,"1030 Naranca Avenue,El Cajon,CA,92021",92021
46,37679916037733,Rios Elementary,92021-2725,ELEM,N,32.840076,-116.87577,2020-08-13,"14314 Rios Canyon Road,El Cajon,CA,92021",92021
47,37679916037741,W. D. Hall Elementary,92021-1460,ELEM,N,32.820878,-116.93116,2020-08-14,"1376 Pepper Drive,El Cajon,CA,92021",92021
48,37679916069082,Avocado Elementary,91941-7319,ELEM,N,32.750432,-116.96075,2020-08-13,"3845 Avocado School Road,La Mesa,CA,91941",91941
49,37679916093199,Sevick Special Education,92019-1046,ELEM,N,32.800143,-116.92221,2017-08-14,"1609 East Madison Avenue,El Cajon,CA,92019",92019
50,37679916093207,Montgomery Middle,92019-2015,INTMIDJR,N,32.79653,-116.92542,2020-08-13,"1570 Melody Lane,El Cajon,CA,92019",92019
51,37679916101794,Vista Grande Elementary,92019-3823,ELEM,N,32.76508,-116.91501,2020-08-13,"1908 Vista Grande Road,El Cajon,CA,92019",92019
52,37679916106025,Rancho San Diego Elementary,92019-4825,ELEM,N,32.754628,-116.93287,2020-08-13,"12151 Calle Albara,El Cajon,CA,92019",92019
53,37679916110787,Jamacha Elementary,92019-4640,ELEM,N,32.740143,-116.91223,2020-08-13,"2962 Jamul Drive,El Cajon,CA,92019",92019
54,37679916112148,Blossom Valley Elementary,92021-2300,ELEM,N,32.861732,-116.84665,2020-08-13,"9863 Oakmont Terrace,El Cajon,CA,92021",92021
55,37679916112890,Hillsdale Middle,92019-4374,INTMIDJR,N,32.74944,-116.9324,2020-08-14,"1301 Brabham Street,El Cajon,CA,92019",92019
56,37679916118319,Cajon Valley Home,92021-5812,ELEM,N,32.807708,-116.93212,2020-08-13,"1384 Broadway,El Cajon,CA,92021",92021
57,37680076037758,Ada W. Harris Elementary,92007-1356,ELEM,N,33.03128,-117.27349,2020-08-13,"1508 Windsor Road,Cardiff-by-the-Sea,CA,92007",92007
58,37680076037766,Cardiff Elementary,92007-2313,ELEM,N,33.025044,-117.2822,2020-08-13,"1888 Montgomery Avenue,Cardiff-by-the-Sea,CA,92007",92007
59,37680230101592,Hedenkamp (Anne and William) Elementary,91913-2895,ELEM,N,32.61674,-117.015,2019-02-13,"930 East Palomar,Chula Vista,CA,91913",91913
60,37680230105957,Liberty Elementary,91914-4026,ELEM,N,32.663976,-116.97761,2019-02-13,"2175 Proctor Valley Road,Chula Vista,CA,91914",91914
61,37680230105965,Salt Creek Elementary,91914-3622,ELEM,N,32.649018,-116.94925,2019-02-13,"1055 Hunte Parkway,Chula Vista,CA,91914",91914
62,37680230108662,Veterans Elementary,91913-3948,ELEM,N,32.623835,-116.97634,2019-02-13,"1550 Magdalena Avenue,Chula Vista,CA,91913",91913
63,37680230114009,Wolf Canyon Elementary,91913-3948,ELEM,N,32.611931,-116.97324,2020-08-13,"1950 Wolf Canyon Loop,Chula Vista,CA,91913",91913
64,37680230119594,Leonardo da Vinci Health Sciences Charter,91911-2332,ELEM,N,32.619689,-117.04798,2020-08-13,"229 East Naples,Chula Vista,CA,91911",91911
65,37680230124321,Howard Gardner Community Charter,91910-2119,ELEM,N,32.641093,-117.09543,2019-02-13,"647 E Street,Chula Vista,CA,91910",91910
66,37680230127431,Camarena (Enrique S.) Elementary,91915-1961,ELEM,N,32.622811,-116.95651,2019-02-13,"1650 Exploration Falls Drive,Chula Vista,CA,91915",91915
67,37680230131474,Special Education Preschool,91910-6115,PS,N,32.631632,-117.05816,2019-08-19,"84 East J Street, Room 301,Chula Vista,CA,91910",91910
68,37680230135277,Muraoka (Saburo) Elementary,91915,ELEM,N,32.615167,-116.99163,2020-01-27,"1644 Santa Alexia Avenue,Chula Vista,CA,91915",91915
69,37680230138073,Learning Choice Academy - Chula Vista,91914-3563,ELEMHIGH,C,32.652419,-116.96551,2020-08-13,"881 Kuhn Drive Suite, 106,Chula Vista,CA,91914",91914
70,37680236037824,Castle Park Elementary,91910-3309,ELEM,N,32.615057,-117.05726,2020-08-12,"25 Emerson Street,Chula Vista,CA,91910",91910
71,37680236037832,Allen (Ella B.) Elementary,91902-2309,ELEM,N,32.656765,-117.03358,2020-08-13,"4300 Allen School Road,Bonita,CA,91902",91902
72,37680236037840,Rohr (Fred H.) Elementary,91911-5999,ELEM,N,32.602452,-117.04055,2020-08-13,"1540 Malta Avenue,Chula Vista,CA,91911",91911
73,37680236037857,Rogers (Greg) Elementary,91911-2519,ELEM,N,32.611251,-117.07781,2020-08-13,"510 East Naples Street,Chula Vista,CA,91911",91911
74,37680236037865,Halecrest Elementary,91910-6499,ELEM,N,32.634394,-117.04331,2020-08-13,"475 East J Street,Chula Vista,CA,91910",91910
75,37680236037873,Harborside Elementary,91911-1619,ELEM,N,32.609058,-117.08551,2019-02-13,"681 Naples Street,Chula Vista,CA,91911",91911
76,37680236037881,Cook (Hazel Goes) Elementary,91911-1501,ELEM,N,32.625934,-117.0562,2020-08-13,"875 Cuyamaca Avenue,Chula Vista,CA,91911",91911
77,37680236037899,Hilltop Drive Elementary,91910-6020,ELEM,N,32.632209,-117.06414,2020-08-13,"30 Murray Street,Chula Vista,CA,91910",91910
78,37680236037907,Lauderbach (J. Calvin) Elementary,91911-3182,ELEM,N,32.620279,-117.07566,2019-02-13,"390 Palomar Street,Chula Vista,CA,91911",91911
79,37680236037915,Montgomery (John J.) Elementary,91911-5799,ELEM,N,32.597875,-117.069,2020-08-13,"1601 Fourth Avenue,Chula Vista,CA,91911",91911
80,37680236037923,Kellogg (Karl H.) Elementary,91911-2399,ELEM,N,32.619721,-117.04805,2020-08-13,"229 East Naples Street,Chula Vista,CA,91911",91911
81,37680236037931,Rice (Lilian J.) Elementary,91911-2098,ELEM,N,32.619137,-117.07569,2019-02-13,"915 Fourth Avenue,Chula Vista,CA,91911",91911
82,37680236037949,Loma Verde Elementary,91911-5310,ELEM,N,32.601123,-117.04889,2019-02-13,"1450 Loma Lane,Chula Vista,CA,91911",91911
83,37680236037956,Feaster (Mae L.) Charter,91910-1327,ELEM,N,32.642227,-117.09686,2019-02-13,"670 Flower Street,Chula Vista,CA,91910",91910
84,37680236037964,Finney (Myrtle S.) Elementary,92154-1799,ELEM,N,32.584496,-117.04839,2020-08-13,"3950 Byrd Street,San Diego,CA,92154",92154
85,37680236037972,Palomar Elementary,91911-3799,ELEM,N,32.613776,-117.04282,2020-08-13,"300 East Palomar Street,Chula Vista,CA,91911",91911
86,37680236037980,Mueller Charter (Robert L.),91910-5112,ELEMHIGH,N,32.626229,-117.09284,2020-08-21,"715 I Street,Chula Vista,CA,91910",91910
87,37680236037998,Rosebank Elementary,91911-1997,ELEM,N,32.649741,-117.07336,2020-08-13,"80 Flower Street,Chula Vista,CA,91911",91911
88,37680236038004,Silver Wing Elementary,92154-2422,ELEM,N,32.578749,-117.05258,2019-12-05,"3730 Arey Drive,San Diego,CA,92154",92154
89,37680236038012,Sunnyside Elementary,91902-2209,ELEM,N,32.674619,-117.01545,2020-08-13,"5430 San Miguel Road,Bonita,CA,91902",91902
90,37680236038020,Valle Lindo Elementary,91911-5699,ELEM,N,32.604937,-117.03275,2020-08-12,"1515 Oleander Avenue,Chula Vista,CA,91911",91911
91,37680236038038,Valley Vista Elementary,91902-1139,ELEM,N,32.659676,-117.04907,2019-02-13,"3724 Valley Vista Way,Bonita,CA,91902",91902
92,37680236038046,Vista Square Elementary,91910-3604,ELEM,N,32.635041,-117.08832,2020-08-13,"540 G Street,Chula Vista,CA,91910",91910
93,37680236066971,Parkview Elementary,91911-3826,ELEM,N,32.612989,-117.03115,2020-08-13,"575 Juniper Street,Chula Vista,CA,91911",91911
94,37680236069090,Juarez-Lincoln Elementary,92154-2599,ELEM,N,32.58072,-117.04543,2020-08-13,"849 Twining Avenue,San Diego,CA,92154",92154
95,37680236070825,Los Altos Elementary,92154-3731,ELEM,N,32.572654,-117.04889,2019-02-13,"1332 Kenalan Drive,San Diego,CA,92154",92154
96,37680236095020,Tiffany (Burton C.) Elementary,91913-2612,ELEM,N,32.64483,-116.99102,2020-08-13,"1691 Elmhurst Street,Chula Vista,CA,91913",91913
97,37680236095038,Otay Elementary,91911-5801,ELEM,N,32.595806,-117.05804,2020-08-13,"1651 Albany Avenue,Chula Vista,CA,91911",91911
98,37680236107775,Chula Vista Hills Elementary,91910-7133,ELEM,N,32.636251,-117.00246,2020-08-13,"980 Buena Vista Way,Chula Vista,CA,91910",91910
99,37680236108492,EastLake Elementary,91913-1263,ELEM,N,32.657494,-116.98515,2019-02-13,"1955 Hillside Drive,Chula Vista,CA,91913",91913
100,37680236109771,Clear View,91910-7400,ELEM,N,32.644805,-117.04506,2019-06-25,"455 Windrose Way,Chula Vista,CA,91910",91910
101,37680236111322,Discovery Charter,91910-7737,ELEM,N,32.641918,-117.01759,2020-05-28,"1100 Camino Biscay,Chula Vista,CA,91910",91910
102,37680236113021,Olympic View Elementary,91915-2127,ELEM,N,32.63572,-116.96342,2020-08-13,"1220 South Greensview Drive,Chula Vista,CA,91915",91915
103,37680236115646,Casillas (Joseph) Elementary,91910-7164,ELEM,N,32.630446,-117.00915,2020-08-13,"1130 East J Street,Chula Vista,CA,91910",91910
104,37680236115778,Chula Vista Learning Community Charter,91911-1118,ELEMHIGH,N,32.620687,-117.08495,2019-02-13,"590 K Street,Chula Vista,CA,91911",91911
105,37680236116396,Marshall (Thurgood) Elementary,91914-3537,ELEM,N,32.659064,-116.9682,2020-08-13,"2295 MacKenzie Creek Road,Chula Vista,CA,91914",91914
106,37680236116859,Arroyo Vista Charter,91915-2534,ELEM,N,32.638128,-116.95252,2019-02-13,"2491 School House Road,Chula Vista,CA,91915",91915
107,37680236118970,Heritage Elementary,91913-1480,ELEM,N,32.626236,-116.9953,2019-02-13,"1450 Santa Lucia Road,Chula Vista,CA,91913",91913
108,37680236118988,McMillin (Corky) Elementary,91913-1799,ELEM,N,32.631793,-116.98529,2020-08-13,"1201 Santa Cora Avenue,Chula Vista,CA,91913",91913
109,37680310131375,Coronado Unified Special Education Pre-K,92118-1638,PS,N,32.696405,-117.18735,2018-03-14,"201 6th Street,Coronado,CA,92118",92118
110,37680313731478,Coronado High,92118-2113,HS,C,32.691403,-117.17817,2020-08-13,"650 D Avenue,Coronado,CA,92118",92118
111,37680316038053,Coronado Village Elementary,92118-1600,ELEM,N,32.693914,-117.18213,2020-08-13,"600 Sixth Street,Coronado,CA,92118",92118
112,37680316038087,Silver Strand Elementary,92118-3124,ELEM,N,32.643984,-117.14542,2020-08-13,"1350 Leyte Road,Coronado,CA,92118",92118
113,37680316059570,Coronado Middle,92118-2110,INTMIDJR,N,32.69378,-117.17956,2020-08-13,"550 F Avenue,Coronado,CA,92118",92118
114,37680490127118,The Heights Charter,91901-2389,ELEM,N,32.835104,-116.75529,2020-08-13,"2710 Alpine Boulevard, Suite E,Alpine,CA,91901",91901
115,37680490129221,MethodSchools,92019-2922,ELEMHIGH,V,32.781118,-116.84889,2020-03-02,"4612 Dehesa Road,El Cajon,CA,92019",92019
116,37680490132506,Cabrillo Point Academy,92019-2922,ELEMHIGH,V,32.781118,-116.84889,2020-08-13,"4612 Dehesa Road,El Cajon,CA,92019",92019
117,37680490136416,Pacific Coast Academy,92064-8884,ELEMHIGH,V,32.939893,-117.03003,2020-08-13,"13915 Danielson Street #103,Poway,CA,92064",92064
118,37680490136614,Diego Hills Central Public Charter,92115-5300,ELEMHIGH,N,32.756779,-117.0803,2020-08-13,"4348 54th Street,San Diego,CA,92115",92115
119,37680496038095,Dehesa Elementary,92019-2922,ELEM,N,32.781239,-116.8512,2020-03-10,"4612 Dehesa Road,El Cajon,CA,92019",92019
120,37680560110114,Sycamore Ridge,92130-2650,ELEM,N,32.954011,-117.19998,2020-08-13,"5333 Old Carmel Valley Road,San Diego,CA,92130",92130
121,37680560114686,Ocean Air,92130-6974,ELEM,N,32.9281,-117.2147,2020-08-13,"11444 Canter Heights Drive,San Diego,CA,92130",92130
122,37680566038111,Del Mar Heights Elementary,92014-3453,ELEM,N,32.945637,-117.24973,2020-08-13,"13555 Boquita Drive,Del Mar,CA,92014",92014
123,37680566088983,Del Mar Hills Elementary,92014-0640,ELEM,N,32.954058,-117.24724,2020-08-13,"14085 Mango Drive,Del Mar,CA,92014",92014
124,37680566110696,Carmel Del Mar Elementary,92130-2222,ELEM,N,32.94087,-117.22955,2020-08-13,"12345 Carmel Park Drive,San Diego,CA,92130",92130
125,37680566115620,Ashley Falls Elementary,92130-3717,ELEM,N,32.957549,-117.20781,2020-08-13,"13030 Ashley Falls Drive,San Diego,CA,92130",92130
126,37680566117923,Sage Canyon,92130-4875,ELEM,N,32.925277,-117.20411,2020-08-13,"5290 Harvest Run Drive,San Diego,CA,92130",92130
127,37680566120596,Torrey Hills,92130-8657,ELEM,N,32.913451,-117.2232,2020-08-13,"10830 Calle Mar de Mariposa,San Diego,CA,92130",92130
128,37680806038145,Paul Ecke-Central Elementary,92024-2119,ELEM,N,33.058062,-117.29703,2019-07-12,"185 Union Street,Encinitas,CA,92024",92024
129,37680806038152,Ocean Knoll Elementary,92024-3901,ELEM,N,33.039889,-117.2725,2020-08-13,"910 Melba Road,Encinitas,CA,92024",92024
130,37680806066989,Capri Elementary,92024-1214,ELEM,N,33.076064,-117.28846,2019-02-13,"941 Capri Road,Encinitas,CA,92024",92024
131,37680806095046,Park Dale Lane Elementary,92024-4324,ELEM,N,33.046392,-117.24311,2020-08-13,"2050 Park Dale Lane,Encinitas,CA,92024",92024
132,37680806099402,Flora Vista Elementary,92024-2417,ELEM,N,33.055334,-117.25288,2020-08-13,"1690 Wandering Road,Encinitas,CA,92024",92024
133,37680806106132,La Costa Heights Elementary,92009-8331,ELEM,N,33.080785,-117.24484,2020-08-13,"3035 Levante Street,Carlsbad,CA,92009",92009
134,37680806108534,Mission Estancia Elementary,92009-9319,ELEM,N,33.072276,-117.23533,2020-08-13,"3330 Calle Barcelona,Carlsbad,CA,92009",92009
135,37680806112445,Olivenhain Pioneer Elementary,92009-8900,ELEM,N,33.064891,-117.23227,2020-08-13,"8000 Calle Acervo,Carlsbad,CA,92009",92009
136,37680806117709,El Camino Creek Elementary,92009-9028,ELEM,N,33.077016,-117.25892,2020-08-13,"7885 Paseo Aliso,Carlsbad,CA,92009",92009
137,37680980101535,Heritage K-8 Charter,92027-2517,ELEM,N,33.136223,-117.05448,2020-08-13,"1855 East Valley Parkway,Escondido,CA,92027",92027
138,37680980102590,Bear Valley Middle,92025-7618,INTMIDJR,N,33.083711,-117.05634,2020-08-13,"3003 Bear Valley Parkway,Escondido,CA,92025",92025
139,37680980102608,Farr Avenue Elementary,92026-3121,ELEM,N,33.138769,-117.0776,2019-02-13,"933 Farr Avenue,Escondido,CA,92026",92026
140,37680980107862,Reidy Creek Elementary,92026-8802,ELEM,N,33.17259,-117.08928,2020-08-24,"2869 North Broadway,Escondido,CA,92026",92026
141,37680980107870,Bernardo Elementary,92029-5634,ELEM,N,33.084707,-117.09137,2020-08-13,"1122 Mountain Heights Drive,Escondido,CA,92029",92029
142,37680980131813,Quantum Academy,92027-5331,INTMIDJR,N,33.143614,-117.03501,2020-08-13,"420 North Falconer Road,Escondido,CA,92027",92027
143,37680980133991,Epiphany Prep Charter,92025-1703,ELEM,N,33.127935,-117.08955,2019-02-13,"725 North Escondido Boulevard,Escondido,CA,92025",92025
144,37680986038178,Central Elementary,92025-4134,ELEM,N,33.118835,-117.07991,2020-08-24,"122 West Fourth Avenue,Escondido,CA,92025",92025
145,37680986038186,Conway Elementary,92027-1629,ELEM,N,33.146289,-117.07398,2020-08-13,"1325 Conway Drive,Escondido,CA,92027",92027
146,37680986038194,Del Dios Academy of Arts and Sciences,92025-2204,INTMIDJR,N,33.11037,-117.10117,2020-08-13,"1400 West Ninth Avenue,Escondido,CA,92025",92025
147,37680986038202,Felicita Elementary,92025-5510,ELEM,N,33.106493,-117.08245,2020-08-13,"737 West 13th Avenue,Escondido,CA,92025",92025
148,37680986038210,Mission Middle,92026-2216,INTMIDJR,N,33.13394,-117.07324,2020-08-13,"939 East Mission Avenue,Escondido,CA,92026",92026
149,37680986038228,Juniper Elementary,92025-6240,ELEM,N,33.105286,-117.06731,2020-08-13,"1809 South Juniper Street,Escondido,CA,92025",92025
150,37680986038236,Lincoln Elementary,92026-3043,ELEM,N,33.134291,-117.08714,2020-08-24,"1029 North Broadway,Escondido,CA,92026",92026
151,37680986038244,Oak Hill Elementary,92027-1629,ELEM,N,33.12953,-117.05125,2020-08-13,"1820 Oak Hill Drive,Escondido,CA,92027",92027
152,37680986038251,Rose Elementary,92027-1629,ELEM,N,33.143321,-117.0659,2020-08-13,"906 North Rose Avenue,Escondido,CA,92027",92027
153,37680986038939,Glen View Elementary,92027-1629,ELEM,N,33.146627,-117.05374,2019-08-13,"2201 East Mission Avenue,Escondido,CA,92027",92027
154,37680986038947,Orange Glen Elementary,92027-2930,ELEM,N,33.145429,-117.03605,2020-08-13,"2861 Valley Parkway,Escondido,CA,92027",92027
155,37680986066997,Miller Elementary,92025-5932,ELEM,N,33.09646,-117.07896,2020-08-13,"1975 Miller Avenue,Escondido,CA,92025",92025
156,37680986093215,Hidden Valley Middle,92027-1629,INTMIDJR,N,33.133732,-117.03329,2020-08-13,"2700 Reed Road,Escondido,CA,92027",92027
157,37680986102750,North Broadway Elementary,92026-1412,ELEM,N,33.161048,-117.09293,2020-08-24,"2301 North Broadway,Escondido,CA,92026",92026
158,37680986105944,Rincon Middle,92026-1512,INTMIDJR,N,33.157721,-117.08255,2020-08-24,"925 Lehner Avenue,Escondido,CA,92026",92026
159,37680986107882,L. R. Green Elementary,92025-7300,ELEM,N,33.086003,-117.05973,2020-08-13,"3115 Las Palmas Avenue,Escondido,CA,92025",92025
160,37680986110381,Pioneer Elementary,92027-1629,ELEM,N,33.138286,-117.07223,2019-02-13,"980 North Ash Street,Escondido,CA,92027",92027
161,37680986111769,Rock Springs Elementary,92026-2200,ELEM,N,33.13701,-117.1059,2020-08-13,"1155 Deodar Road,Escondido,CA,92026",92026
162,37680986116776,Classical Academy,92025-7446,ELEM,C,33.0844,-117.0555,2020-08-13,"2950 South Bear Valley Parkway,Escondido,CA,92025",92025
163,37681060111195,Classical Academy High,92025-2808,HS,C,33.124186,-117.08057,2020-08-13,"207 East Pennsylvania Avenue,Escondido,CA,92025",92025
164,37681060127241,Del Lago Academy - Campus of Applied Science,92029-4211,HS,C,33.096589,-117.10349,2019-02-13,"1740 Scenic Trail Way,Escondido,CA,92029",92029
165,37681060137034,Audeo Charter School III,92025-8006,ELEMHIGH,N,33.070485,-117.06492,2020-08-13,"200 East Via Rancho Parkway,Escondido,CA,92025",92025
166,37681063730025,Escondido Adult,92025,A,C,33.131196,-117.08846,2020-07-16,"220 West Crest,Escondido,CA,92025",92025
167,37681063730058,San Pasqual High,92025-7636,HS,C,33.077688,-117.05724,2019-02-13,"3300 Bear Valley Parkway,Escondido,CA,92025",92025
168,37681063731023,Escondido Charter High,92027-2525,HS,C,33.136449,-117.05426,2020-08-13,"1868 East Valley Parkway,Escondido,CA,92027",92027
169,37681063732054,Valley High (Continuation),92027-5333,HS,C,33.142244,-117.02326,2019-07-12,"410 North Hidden Trails Road,Escondido,CA,92027",92027
170,37681063732062,Escondido High,92026-2015,HS,C,33.144413,-117.09028,2019-02-13,"1535 North Broadway,Escondido,CA,92026",92026
171,37681063735313,Orange Glen High,92027-4115,HS,C,33.129474,-117.038,2020-08-14,"2200 Glen Ridge Road,Escondido,CA,92027",92027
172,37681140115519,Santa Margarita Academy,92028-2108,INTMIDJR,N,33.380281,-117.25397,2020-08-13,"400 West Elder Street,Fallbrook,CA,92028",92028
173,37681140131920,Maie Ellis Elementary,92028-2108,ELEM,N,33.380281,-117.25397,2019-02-13,"400 West Elder Street,Fallbrook,CA,92028",92028
174,37681140133967,Mike Choate Early Childhood Education Center,92028-2898,PS,N,33.377188,-117.25407,2018-08-13,"407 South Mission Road,Fallbrook,CA,92028",92028
175,37681146038269,La Paloma Elementary,92028-2108,ELEM,N,33.378156,-117.23539,2020-08-13,"300 Heald Lane,Fallbrook,CA,92028",92028
176,37681146038277,James E. Potter Intermediate,92028-2108,INTMIDJR,N,33.369188,-117.22164,2020-08-13,"1743 Reche Road,Fallbrook,CA,92028",92028
177,37681146038285,Fallbrook STEM Academy,92028-2108,ELEM,N,33.376687,-117.25531,2020-08-13,"405 West Fallbrook Street,Fallbrook,CA,92028",92028
178,37681146038301,Mary Fay Pendleton Elementary,92058-8234,ELEM,N,33.323361,-117.31057,2020-08-13,"110 Marine Drive,Oceanside,CA,92058",92058
